event_type,setting_id,varied_parameter,parameter_value,is_default_setting,seed,num_samples,p0,proposal_std,context_refresh_prob,mh_retries_per_sample,max_levels,run_dir,execution_status,quality_status,failure_reason,runtime_seconds,summary_path,effective_config_sha256,updated_utc,probability,binomial_rse,binomial_ci95_lower,binomial_ci95_upper,num_levels,closed_loop_evaluations,proposal_evaluations,mean_transition_acceptance_rate,reliability_status_observed,final_unique_contexts,final_unique_states,final_largest_context_share,final_largest_state_share,failure_threshold,stop_reason
following,default,default,,true,101,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_101,completed,pass,,617.297000,../following_default_repeats\seed_101\latent_subset_summary.json,c0fd92cd53c1e492e963fcc5354b982c76934852ed732ce8ba09568e93b6fe4c,2026-08-02T14:15:16.922149+00:00,0.0019840000000000005,0.03179233694103098,0.0018603710468776298,0.0021076289531223712,4,29185,26185,0.5917777777777777,pass,186.0,1982.0,0.03133333333333333,0.0033333333333333335,6.20371489252444,subset_threshold_reached_failure_threshold
following,default,default,,true,202,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_202,completed,pass,,590.750000,../following_default_repeats\seed_202\latent_subset_summary.json,338d8bb779a861adbff12e6c61b542fc07df867ea4f247d097a3844a38f89f55,2026-08-02T14:25:07.675251+00:00,0.0033493333333333344,0.021513833006131456,0.0032081016172235367,0.003490565049443132,4,29127,26127,0.5927777777777777,pass,151.0,1992.0,0.035666666666666666,0.003,6.20371489252444,subset_threshold_reached_failure_threshold
following,default,default,,true,303,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_303,completed,pass,,603.000000,../following_default_repeats\seed_303\latent_subset_summary.json,9c8740e847c4aa3dbbb3b87a76ee15adb7510376b4aca092bb9471ebc63629ad,2026-08-02T14:35:10.679557+00:00,0.002594666666666667,0.02635177215776474,0.002460653499608987,0.002728679833724347,4,29492,26492,0.5850000000000001,pass,172.0,1966.0,0.032,0.004666666666666667,6.20371489252444,subset_threshold_reached_failure_threshold
following,default,default,,true,404,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_404,completed,pass,,604.875000,../following_default_repeats\seed_404\latent_subset_summary.json,35986b3844916b48558a192edb259b329ad036e739fd79f9284eb9c51c17e271,2026-08-02T14:45:15.560942+00:00,0.0023786666666666674,0.028066757914845156,0.002247814202139515,0.0025095191311938197,4,29688,26688,0.5816666666666667,pass,168.0,1971.0,0.032,0.0036666666666666666,6.20371489252444,subset_threshold_reached_failure_threshold
following,default,default,,true,505,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_505,completed,pass,,596.500000,../following_default_repeats\seed_505\latent_subset_summary.json,35e7b64cd402d4403840bf51e7362c0e8ea2bee38319155f1e051949a38e7678,2026-08-02T14:55:12.086890+00:00,0.0021600000000000005,0.030020569080236217,0.0020329049187419123,0.0022870950812580886,4,29277,26277,0.5875555555555555,pass,179.0,1965.0,0.035333333333333335,0.0036666666666666666,6.20371489252444,subset_threshold_reached_failure_threshold
following,num_samples_1000,num_samples,1000,false,101,1000,0.2,0.12,0.7,6,8,runs\following\num_samples_1000\seed_101,completed,fail,unique_contexts 61 < 100,210.938000,runs\following\num_samples_1000\seed_101\latent_subset_summary.json,d0e7916ce8df26e252fba678fd106bf83c6023916dca8cead8d02bed3731cc5e,2026-08-02T14:08:30.616484+00:00,0.0028880000000000004,0.04207235556149757,0.0026498502727912545,0.0031261497272087463,4,9678,8678,0.594,fail,61.0,677.0,0.09,0.008,6.20371489252444,subset_threshold_reached_failure_threshold
following,num_samples_1000,num_samples,1000,false,202,1000,0.2,0.12,0.7,6,8,runs\following\num_samples_1000\seed_202,completed,fail,unique_contexts 45 < 100,208.078000,runs\following\num_samples_1000\seed_202\latent_subset_summary.json,8d40132b4f10b0c1c19bbb91eeee4cb967e279a8bc9c7747b5b176ae632ff4c9,2026-08-02T14:11:58.697324+00:00,0.0030400000000000006,0.040392808114420836,0.0027993234921310354,0.003280676507868966,4,9756,8756,0.5876666666666667,fail,45.0,664.0,0.079,0.009,6.20371489252444,subset_threshold_reached_failure_threshold
following,num_samples_1000,num_samples,1000,false,303,1000,0.2,0.12,0.7,6,8,runs\following\num_samples_1000\seed_303,skipped_after_two_quality_failures,fail,Two consecutive earlier seeds had execution or reliability failures.,,,,2026-08-02T14:11:58.699309+00:00,nan,nan,nan,nan,nan,nan,nan,nan,missing,nan,nan,nan,nan,nan,
following,num_samples_5000,num_samples,5000,false,101,5000,0.2,0.12,0.7,6,8,runs\following\num_samples_5000\seed_101,completed,pass,,1014.110000,runs\following\num_samples_5000\seed_101\latent_subset_summary.json,6c73de5c1c53fd0efe6190977778a273740d161875945f3d8b1721cd65a98709,2026-08-02T14:21:53.843563+00:00,0.0027712000000000006,0.019425941561291828,0.002665686988260883,0.0028767130117391183,4,48798,43798,0.5880666666666666,pass,275.0,3295.0,0.0238,0.0022,6.20371489252444,subset_threshold_reached_failure_threshold
following,num_samples_5000,num_samples,5000,false,202,5000,0.2,0.12,0.7,6,8,runs\following\num_samples_5000\seed_202,completed,pass,,986.765000,runs\following\num_samples_5000\seed_202\latent_subset_summary.json,bfb9fec5ee8ef3dc147db1e10012fbf26484fcfbf44bb0f3330e99792f17b2d7,2026-08-02T14:38:20.627644+00:00,0.0023088000000000006,0.022203618916759787,0.002208323117904171,0.00240927688209583,4,48645,43645,0.5913333333333334,pass,302.0,3295.0,0.023,0.003,6.20371489252444,subset_threshold_reached_failure_threshold
following,num_samples_5000,num_samples,5000,false,303,5000,0.2,0.12,0.7,6,8,runs\following\num_samples_5000\seed_303,completed,pass,,1001.172000,runs\following\num_samples_5000\seed_303\latent_subset_summary.json,8650e227a76c488848438adae007668768b3484c60ed13ca025fbf6b62b29ad7,2026-08-02T14:55:01.841618+00:00,0.0018336000000000003,0.025934539692081288,0.0017403949989203758,0.0019268050010796249,4,48890,43890,0.5807333333333333,pass,277.0,3236.0,0.0234,0.002,6.20371489252444,subset_threshold_reached_failure_threshold
following,p0_0p1,p0,0.1,false,101,3000,0.1,0.12,0.7,6,8,runs\following\p0_0p1\seed_101,completed,pass,,484.656000,runs\following\p0_0p1\seed_101\latent_subset_summary.json,4ae44e528d45efde88efacaac57d10b56974bf040178d5b82251d9836e69be0e,2026-08-02T14:13:04.389317+00:00,0.0015900000000000003,0.04198931680043004,0.00145914449312314,0.0017208555068768604,3,23619,20619,0.6345,pass,198.0,1972.0,0.03,0.0033333333333333335,6.20371489252444,subset_threshold_reached_failure_threshold
following,p0_0p1,p0,0.1,false,202,3000,0.1,0.12,0.7,6,8,runs\following\p0_0p1\seed_202,completed,pass,,460.719000,runs\following\p0_0p1\seed_202\latent_subset_summary.json,c5dab95fec1d47738e216bb43ed4e94fa75727f3da0fd144301b465c34efef80,2026-08-02T14:20:45.107738+00:00,0.003810000000000001,0.023271383829433796,0.003636218614115321,0.003983781385884681,3,23612,20612,0.6373333333333333,pass,143.0,1946.0,0.031,0.0036666666666666666,6.20371489252444,subset_threshold_reached_failure_threshold
following,p0_0p1,p0,0.1,false,303,3000,0.1,0.12,0.7,6,8,runs\following\p0_0p1\seed_303,completed,pass,,465.813000,runs\following\p0_0p1\seed_303\latent_subset_summary.json,138ec3829876c10ae0a2f67585465653687761ab5cfcec142c90900bd72aa292,2026-08-02T14:28:30.934526+00:00,0.0024933333333333335,0.03167909503739953,0.002338519707825231,0.002648146958841436,3,23446,20446,0.6443333333333333,pass,189.0,2021.0,0.028,0.003,6.20371489252444,subset_threshold_reached_failure_threshold
following,p0_0p3,p0,0.3,false,101,3000,0.3,0.12,0.7,6,8,runs\following\p0_0p3\seed_101,completed,pass,,684.266000,runs\following\p0_0p3\seed_101\latent_subset_summary.json,b75f4e3b9ecf6a4c3f8c7ad55a3f66d641a00172af4751e1fba29f3be9f47874,2026-08-02T14:23:22.973392+00:00,0.0038339999999999997,0.019258557027444778,0.003689278877019282,0.003978721122980717,5,33000,30000,0.5229166666666667,pass,155.0,1974.0,0.043,0.004333333333333333,6.20371489252444,subset_threshold_reached_failure_threshold
following,p0_0p3,p0,0.3,false,202,3000,0.3,0.12,0.7,6,8,runs\following\p0_0p3\seed_202,completed,pass,,699.875000,runs\following\p0_0p3\seed_202\latent_subset_summary.json,b6def140232274355cff0fef102c9084d33ef28b011a5ece001e416ab0d94518,2026-08-02T14:35:02.857429+00:00,0.0040662,0.018184534386028513,0.003921273770707881,0.004211126229292119,5,33039,30039,0.5215833333333333,pass,137.0,1964.0,0.052,0.004,6.20371489252444,subset_threshold_reached_failure_threshold
following,p0_0p3,p0,0.3,false,303,3000,0.3,0.12,0.7,6,8,runs\following\p0_0p3\seed_303,completed,pass,,688.344000,runs\following\p0_0p3\seed_303\latent_subset_summary.json,8a2dc54ee177441f119efe1db65615533f08e3349fa5fe278d795054c329cd1f,2026-08-02T14:46:31.223326+00:00,0.0040904999999999995,0.018075748207676684,0.003945579857834737,0.004235420142165262,5,33117,30117,0.5208333333333333,pass,122.0,1959.0,0.058,0.0033333333333333335,6.20371489252444,subset_threshold_reached_failure_threshold
following,proposal_std_0p06,proposal_std,0.06,false,101,3000,0.2,0.06,0.7,6,8,runs\following\proposal_std_0p06\seed_101,completed,pass,,543.250000,runs\following\proposal_std_0p06\seed_101\latent_subset_summary.json,b51a083570f9da92186a5fbb370171393aed8c04425687dfd955f62aa244e214,2026-08-02T14:37:34.202752+00:00,0.0020506666666666672,0.031097536617902346,0.0019256761304214216,0.002175657202911913,4,25178,22178,0.6784444444444445,pass,161.0,2418.0,0.03233333333333333,0.0016666666666666668,6.20371489252444,subset_threshold_reached_failure_threshold
